"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"MA","Chatham","25001","2500112995","US Senate","statewide",4083,"Democrat","Elizabeth A. Warren",2107
"MA","Chatham","25001","2500112995","US Senate","statewide",4083,"Republican","Geoff Diehl",1862
"MA","Chatham","25001","2500112995","US Senate","statewide",4083,"Unenrolled","Shiva Ayyadurai",108
"MA","Chelmsford","25017","2501713135","US Senate","statewide",16753,"","All Others",14
"MA","Chelmsford","25017","2501713135","US Senate","statewide",16753,"Democrat","Elizabeth A. Warren",9006
"MA","Chelmsford","25017","2501713135","US Senate","statewide",16753,"Republican","Geoff Diehl",7086
"MA","Chelmsford","25017","2501713135","US Senate","statewide",16753,"Unenrolled","Shiva Ayyadurai",647
"MA","Chelsea","25025","2502513205","US Senate","statewide",6564,"","All Others",0
"MA","Chelsea","25025","2502513205","US Senate","statewide",6564,"Democrat","Elizabeth A. Warren",5190
"MA","Chelsea","25025","2502513205","US Senate","statewide",6564,"Republican","Geoff Diehl",1194
"MA","Chelsea","25025","2502513205","US Senate","statewide",6564,"Unenrolled","Shiva Ayyadurai",180
"MA","Cheshire","25003","2500313345","US Senate","statewide",1491,"","All Others",2
"MA","Cheshire","25003","2500313345","US Senate","statewide",1491,"Democrat","Elizabeth A. Warren",879
"MA","Cheshire","25003","2500313345","US Senate","statewide",1491,"Republican","Geoff Diehl",566
"MA","Cheshire","25003","2500313345","US Senate","statewide",1491,"Unenrolled","Shiva Ayyadurai",44
"MA","Chester","25013","2501313485","US Senate","statewide",568,"","All Others",0
"MA","Chester","25013","2501313485","US Senate","statewide",568,"Democrat","Elizabeth A. Warren",232
"MA","Chester","25013","2501313485","US Senate","statewide",568,"Republican","Geoff Diehl",315
"MA","Chester","25013","2501313485","US Senate","statewide",568,"Unenrolled","Shiva Ayyadurai",21
"MA","Chesterfield","25015","2501513590","US Senate","statewide",647,"","All Others",0
"MA","Chesterfield","25015","2501513590","US Senate","statewide",647,"Democrat","Elizabeth A. Warren",393
"MA","Chesterfield","25015","2501513590","US Senate","statewide",647,"Republican","Geoff Diehl",228
"MA","Chesterfield","25015","2501513590","US Senate","statewide",647,"Unenrolled","Shiva Ayyadurai",26
"MA","Chicopee","25013","2501313660","US Senate","statewide",18112,"","All Others",30
"MA","Chicopee","25013","2501313660","US Senate","statewide",18112,"Democrat","Elizabeth A. Warren",9878
"MA","Chicopee","25013","2501313660","US Senate","statewide",18112,"Republican","Geoff Diehl",7371
"MA","Chicopee","25013","2501313660","US Senate","statewide",18112,"Unenrolled","Shiva Ayyadurai",833
"MA","Chilmark","25007","2500713800","US Senate","statewide",722,"","All Others",1
"MA","Chilmark","25007","2500713800","US Senate","statewide",722,"Democrat","Elizabeth A. Warren",587
"MA","Chilmark","25007","2500713800","US Senate","statewide",722,"Republican","Geoff Diehl",107
"MA","Chilmark","25007","2500713800","US Senate","statewide",722,"Unenrolled","Shiva Ayyadurai",27
"MA","Clarksburg","25003","2500314010","US Senate","statewide",701,"","All Others",0
"MA","Clarksburg","25003","2500314010","US Senate","statewide",701,"Democrat","Elizabeth A. Warren",445
"MA","Clarksburg","25003","2500314010","US Senate","statewide",701,"Republican","Geoff Diehl",240
"MA","Clarksburg","25003","2500314010","US Senate","statewide",701,"Unenrolled","Shiva Ayyadurai",16
"MA","Clinton","25027","2502714395","US Senate","statewide",5524,"","All Others",4
"MA","Clinton","25027","2502714395","US Senate","statewide",5524,"Democrat","Elizabeth A. Warren",2913
"MA","Clinton","25027","2502714395","US Senate","statewide",5524,"Republican","Geoff Diehl",2346
"MA","Clinton","25027","2502714395","US Senate","statewide",5524,"Unenrolled","Shiva Ayyadurai",261
"MA","Cohasset","25021","2502114640","US Senate","statewide",4391,"","All Others",10
"MA","Cohasset","25021","2502114640","US Senate","statewide",4391,"Democrat","Elizabeth A. Warren",2344
"MA","Cohasset","25021","2502114640","US Senate","statewide",4391,"Republican","Geoff Diehl",1915
"MA","Cohasset","25021","2502114640","US Senate","statewide",4391,"Unenrolled","Shiva Ayyadurai",122
"MA","Colrain","25011","2501114885","US Senate","statewide",743,"","All Others",0
"MA","Colrain","25011","2501114885","US Senate","statewide",743,"Democrat","Elizabeth A. Warren",484
"MA","Colrain","25011","2501114885","US Senate","statewide",743,"Republican","Geoff Diehl",218
"MA","Colrain","25011","2501114885","US Senate","statewide",743,"Unenrolled","Shiva Ayyadurai",41
"MA","Concord","25017","2501715060","US Senate","statewide",10033,"","All Others",4
"MA","Concord","25017","2501715060","US Senate","statewide",10033,"Democrat","Elizabeth A. Warren",7427
"MA","Concord","25017","2501715060","US Senate","statewide",10033,"Republican","Geoff Diehl",2303
"MA","Concord","25017","2501715060","US Senate","statewide",10033,"Unenrolled","Shiva Ayyadurai",299
"MA","Conway","25011","2501115200","US Senate","statewide",1102,"","All Others",0
"MA","Conway","25011","2501115200","US Senate","statewide",1102,"Democrat","Elizabeth A. Warren",828
"MA","Conway","25011","2501115200","US Senate","statewide",1102,"Republican","Geoff Diehl",244
"MA","Conway","25011","2501115200","US Senate","statewide",1102,"Unenrolled","Shiva Ayyadurai",30
"MA","Cummington","25015","2501516040","US Senate","statewide",481,"","All Others",0
"MA","Cummington","25015","2501516040","US Senate","statewide",481,"Democrat","Elizabeth A. Warren",346
"MA","Cummington","25015","2501516040","US Senate","statewide",481,"Republican","Geoff Diehl",113
"MA","Cummington","25015","2501516040","US Senate","statewide",481,"Unenrolled","Shiva Ayyadurai",22
"MA","Dalton","25003","2500316180","US Senate","statewide",2871,"","All Others",1
"MA","Dalton","25003","2500316180","US Senate","statewide",2871,"Democrat","Elizabeth A. Warren",1945
"MA","Dalton","25003","2500316180","US Senate","statewide",2871,"Republican","Geoff Diehl",855
"MA","Dalton","25003","2500316180","US Senate","statewide",2871,"Unenrolled","Shiva Ayyadurai",70
"MA","Danvers","25009","2500916250","US Senate","statewide",12475,"","All Others",15
"MA","Danvers","25009","2500916250","US Senate","statewide",12475,"Democrat","Elizabeth A. Warren",6189
"MA","Danvers","25009","2500916250","US Senate","statewide",12475,"Republican","Geoff Diehl",5761
"MA","Danvers","25009","2500916250","US Senate","statewide",12475,"Unenrolled","Shiva Ayyadurai",510
"MA","Dartmouth","25005","2500516425","US Senate","statewide",12759,"","All Others",7
"MA","Dartmouth","25005","2500516425","US Senate","statewide",12759,"Democrat","Elizabeth A. Warren",6775
"MA","Dartmouth","25005","2500516425","US Senate","statewide",12759,"Republican","Geoff Diehl",5583
"MA","Dartmouth","25005","2500516425","US Senate","statewide",12759,"Unenrolled","Shiva Ayyadurai",394
"MA","Dedham","25021","2502116495","US Senate","statewide",12214,"","All Others",14
"MA","Dedham","25021","2502116495","US Senate","statewide",12214,"Democrat","Elizabeth A. Warren",7157
"MA","Dedham","25021","2502116495","US Senate","statewide",12214,"Republican","Geoff Diehl",4665
"MA","Dedham","25021","2502116495","US Senate","statewide",12214,"Unenrolled","Shiva Ayyadurai",378
"MA","Deerfield","25011","2501116670","US Senate","statewide",2623,"","All Others",1
"MA","Deerfield","25011","2501116670","US Senate","statewide",2623,"Democrat","Elizabeth A. Warren",1812
"MA","Deerfield","25011","2501116670","US Senate","statewide",2623,"Republican","Geoff Diehl",722
"MA","Deerfield","25011","2501116670","US Senate","statewide",2623,"Unenrolled","Shiva Ayyadurai",88
"MA","Dennis","25001","2500116775","US Senate","statewide",8258,"","All Others",2
"MA","Dennis","25001","2500116775","US Senate","statewide",8258,"Democrat","Elizabeth A. Warren",4294
"MA","Dennis","25001","2500116775","US Senate","statewide",8258,"Republican","Geoff Diehl",3747
"MA","Dennis","25001","2500116775","US Senate","statewide",8258,"Unenrolled","Shiva Ayyadurai",215
"MA","Dighton","25005","2500516950","US Senate","statewide",3240,"","All Others",2
"MA","Dighton","25005","2500516950","US Senate","statewide",3240,"Democrat","Elizabeth A. Warren",1332
"MA","Dighton","25005","2500516950","US Senate","statewide",3240,"Republican","Geoff Diehl",1809
"MA","Dighton","25005","2500516950","US Senate","statewide",3240,"Unenrolled","Shiva Ayyadurai",97
"MA","Douglas","25027","2502717300","US Senate","statewide",3914,"","All Others",0
"MA","Douglas","25027","2502717300","US Senate","statewide",3914,"Democrat","Elizabeth A. Warren",1448
"MA","Douglas","25027","2502717300","US Senate","statewide",3914,"Republican","Geoff Diehl",2286
"MA","Douglas","25027","2502717300","US Senate","statewide",3914,"Unenrolled","Shiva Ayyadurai",180
"MA","Dover","25021","2502117405","US Senate","statewide",3097,"","All Others",9
"MA","Dover","25021","2502117405","US Senate","statewide",3097,"Democrat","Elizabeth A. Warren",1668
"MA","Dover","25021","2502117405","US Senate","statewide",3097,"Republican","Geoff Diehl",1307
"MA","Dover","25021","2502117405","US Senate","statewide",3097,"Unenrolled","Shiva Ayyadurai",113
"MA","Dracut","25017","2501717475","US Senate","statewide",13014,"","All Others",0
"MA","Dracut","25017","2501717475","US Senate","statewide",13014,"Democrat","Elizabeth A. Warren",5409
"MA","Dracut","25017","2501717475","US Senate","statewide",13014,"Republican","Geoff Diehl",6928
"MA","Dracut","25017","2501717475","US Senate","statewide",13014,"Unenrolled","Shiva Ayyadurai",677
"MA","Dudley","25027","2502717685","US Senate","statewide",4246,"","All Others",0
"MA","Dudley","25027","2502717685","US Senate","statewide",4246,"Democrat","Elizabeth A. Warren",1631
"MA","Dudley","25027","2502717685","US Senate","statewide",4246,"Republican","Geoff Diehl",2409
"MA","Dudley","25027","2502717685","US Senate","statewide",4246,"Unenrolled","Shiva Ayyadurai",206
"MA","Dunstable","25017","2501717825","US Senate","statewide",1710,"","All Others",0
"MA","Dunstable","25017","2501717825","US Senate","statewide",1710,"Democrat","Elizabeth A. Warren",850
"MA","Dunstable","25017","2501717825","US Senate","statewide",1710,"Republican","Geoff Diehl",809
"MA","Dunstable","25017","2501717825","US Senate","statewide",1710,"Unenrolled","Shiva Ayyadurai",51
"MA","Duxbury","25023","2502317895","US Senate","statewide",8431,"","All Others",7
"MA","Duxbury","25023","2502317895","US Senate","statewide",8431,"Democrat","Elizabeth A. Warren",4036
"MA","Duxbury","25023","2502317895","US Senate","statewide",8431,"Republican","Geoff Diehl",4136
"MA","Duxbury","25023","2502317895","US Senate","statewide",8431,"Unenrolled","Shiva Ayyadurai",252
"MA","East Bridgewater","25023","2502318455","US Senate","statewide",6439,"","All Others",0
"MA","East Bridgewater","25023","2502318455","US Senate","statewide",6439,"Democrat","Elizabeth A. Warren",2431
"MA","East Bridgewater","25023","2502318455","US Senate","statewide",6439,"Republican","Geoff Diehl",3832
"MA","East Bridgewater","25023","2502318455","US Senate","statewide",6439,"Unenrolled","Shiva Ayyadurai",176
"MA","East Brookfield","25027","2502718560","US Senate","statewide",1019,"","All Others",0
"MA","East Brookfield","25027","2502718560","US Senate","statewide",1019,"Democrat","Elizabeth A. Warren",381
"MA","East Brookfield","25027","2502718560","US Senate","statewide",1019,"Republican","Geoff Diehl",591
"MA","East Brookfield","25027","2502718560","US Senate","statewide",1019,"Unenrolled","Shiva Ayyadurai",47
"MA","East Longmeadow","25013","2501319645","US Senate","statewide",7448,"","All Others",2
"MA","East Longmeadow","25013","2501319645","US Senate","statewide",7448,"Democrat","Elizabeth A. Warren",3460
"MA","East Longmeadow","25013","2501319645","US Senate","statewide",7448,"Republican","Geoff Diehl",3719
"MA","East Longmeadow","25013","2501319645","US Senate","statewide",7448,"Unenrolled","Shiva Ayyadurai",267
"MA","Eastham","25001","2500119295","US Senate","statewide",3281,"","All Others",5
"MA","Eastham","25001","2500119295","US Senate","statewide",3281,"Democrat","Elizabeth A. Warren",2057
"MA","Eastham","25001","2500119295","US Senate","statewide",3281,"Republican","Geoff Diehl",1146
"MA","Eastham","25001","2500119295","US Senate","statewide",3281,"Unenrolled","Shiva Ayyadurai",73
"MA","Easthampton","25015","2501519330","US Senate","statewide",8485,"","All Others",3
"MA","Easthampton","25015","2501519330","US Senate","statewide",8485,"Democrat","Elizabeth A. Warren",5962
"MA","Easthampton","25015","2501519330","US Senate","statewide",8485,"Republican","Geoff Diehl",2177
"MA","Easthampton","25015","2501519330","US Senate","statewide",8485,"Unenrolled","Shiva Ayyadurai",343
"MA","Easton","25005","2500520100","US Senate","statewide",10483,"","All Others",10
"MA","Easton","25005","2500520100","US Senate","statewide",10483,"Democrat","Elizabeth A. Warren",5384
"MA","Easton","25005","2500520100","US Senate","statewide",10483,"Republican","Geoff Diehl",4757
"MA","Easton","25005","2500520100","US Senate","statewide",10483,"Unenrolled","Shiva Ayyadurai",332
"MA","Edgartown","25007","2500721150","US Senate","statewide",2365,"","All Others",0
"MA","Edgartown","25007","2500721150","US Senate","statewide",2365,"Democrat","Elizabeth A. Warren",1546
"MA","Edgartown","25007","2500721150","US Senate","statewide",2365,"Republican","Geoff Diehl",723
"MA","Edgartown","25007","2500721150","US Senate","statewide",2365,"Unenrolled","Shiva Ayyadurai",96
"MA","Egremont","25003","2500321360","US Senate","statewide",784,"","All Others",0
"MA","Egremont","25003","2500321360","US Senate","statewide",784,"Democrat","Elizabeth A. Warren",641
"MA","Egremont","25003","2500321360","US Senate","statewide",784,"Republican","Geoff Diehl",125
"MA","Egremont","25003","2500321360","US Senate","statewide",784,"Unenrolled","Shiva Ayyadurai",18
"MA","Erving","25011","2501121780","US Senate","statewide",644,"","All Others",0
"MA","Erving","25011","2501121780","US Senate","statewide",644,"Democrat","Elizabeth A. Warren",384
"MA","Erving","25011","2501121780","US Senate","statewide",644,"Republican","Geoff Diehl",225
"MA","Erving","25011","2501121780","US Senate","statewide",644,"Unenrolled","Shiva Ayyadurai",35
"MA","Essex","25009","2500921850","US Senate","statewide",2005,"","All Others",0
"MA","Essex","25009","2500921850","US Senate","statewide",2005,"Democrat","Elizabeth A. Warren",1125
"MA","Essex","25009","2500921850","US Senate","statewide",2005,"Republican","Geoff Diehl",795
"MA","Essex","25009","2500921850","US Senate","statewide",2005,"Unenrolled","Shiva Ayyadurai",85
"MA","Everett","25017","2501721990","US Senate","statewide",10107,"","All Others",17
"MA","Everett","25017","2501721990","US Senate","statewide",10107,"Democrat","Elizabeth A. Warren",7000
"MA","Everett","25017","2501721990","US Senate","statewide",10107,"Republican","Geoff Diehl",2776
"MA","Everett","25017","2501721990","US Senate","statewide",10107,"Unenrolled","Shiva Ayyadurai",314
"MA","Fairhaven","25005","2500522130","US Senate","statewide",7013,"","All Others",6
"MA","Fairhaven","25005","2500522130","US Senate","statewide",7013,"Democrat","Elizabeth A. Warren",3571
"MA","Fairhaven","25005","2500522130","US Senate","statewide",7013,"Republican","Geoff Diehl",3197
"MA","Fairhaven","25005","2500522130","US Senate","statewide",7013,"Unenrolled","Shiva Ayyadurai",239
"MA","Fall River","25005","2500523000","US Senate","statewide",19519,"","All Others",11
"MA","Fall River","25005","2500523000","US Senate","statewide",19519,"Democrat","Elizabeth A. Warren",11662
"MA","Fall River","25005","2500523000","US Senate","statewide",19519,"Republican","Geoff Diehl",7162
"MA","Fall River","25005","2500523000","US Senate","statewide",19519,"Unenrolled","Shiva Ayyadurai",684
"MA","Falmouth","25001","2500123105","US Senate","statewide",17442,"","All Others",13
"MA","Falmouth","25001","2500123105","US Senate","statewide",17442,"Democrat","Elizabeth A. Warren",9833
"MA","Falmouth","25001","2500123105","US Senate","statewide",17442,"Republican","Geoff Diehl",7021
"MA","Falmouth","25001","2500123105","US Senate","statewide",17442,"Unenrolled","Shiva Ayyadurai",575
"MA","Fitchburg","25027","2502723875","US Senate","statewide",11491,"","All Others",3
"MA","Fitchburg","25027","2502723875","US Senate","statewide",11491,"Democrat","Elizabeth A. Warren",6333
"MA","Fitchburg","25027","2502723875","US Senate","statewide",11491,"Republican","Geoff Diehl",4694
"MA","Fitchburg","25027","2502723875","US Senate","statewide",11491,"Unenrolled","Shiva Ayyadurai",461
"MA","Florida","25003","2500324120","US Senate","statewide",318,"","All Others",0
"MA","Florida","25003","2500324120","US Senate","statewide",318,"Democrat","Elizabeth A. Warren",157
"MA","Florida","25003","2500324120","US Senate","statewide",318,"Republican","Geoff Diehl",146
"MA","Florida","25003","2500324120","US Senate","statewide",318,"Unenrolled","Shiva Ayyadurai",15
"MA","Foxborough","25021","2502124820","US Senate","statewide",8464,"","All Others",4
"MA","Foxborough","25021","2502124820","US Senate","statewide",8464,"Democrat","Elizabeth A. Warren",4192
"MA","Foxborough","25021","2502124820","US Senate","statewide",8464,"Republican","Geoff Diehl",3979
"MA","Foxborough","25021","2502124820","US Senate","statewide",8464,"Unenrolled","Shiva Ayyadurai",289
"MA","Framingham","25017","2501724925","US Senate","statewide",24073,"","All Others",34
"MA","Framingham","25017","2501724925","US Senate","statewide",24073,"Democrat","Elizabeth A. Warren",16568
"MA","Framingham","25017","2501724925","US Senate","statewide",24073,"Republican","Geoff Diehl",6782
"MA","Framingham","25017","2501724925","US Senate","statewide",24073,"Unenrolled","Shiva Ayyadurai",689
"MA","Franklin","25021","2502125100","US Senate","statewide",14926,"","All Others",23
"MA","Franklin","25021","2502125100","US Senate","statewide",14926,"Democrat","Elizabeth A. Warren",7667
"MA","Franklin","25021","2502125100","US Senate","statewide",14926,"Republican","Geoff Diehl",6778
"MA","Franklin","25021","2502125100","US Senate","statewide",14926,"Unenrolled","Shiva Ayyadurai",458
"MA","Freetown","25005","2500525240","US Senate","statewide",3896,"","All Others",0
"MA","Freetown","25005","2500525240","US Senate","statewide",3896,"Democrat","Elizabeth A. Warren",1610
"MA","Freetown","25005","2500525240","US Senate","statewide",3896,"Republican","Geoff Diehl",2165
"MA","Freetown","25005","2500525240","US Senate","statewide",3896,"Unenrolled","Shiva Ayyadurai",121
"MA","Gardner","25027","2502725485","US Senate","statewide",6836,"","All Others",3
"MA","Gardner","25027","2502725485","US Senate","statewide",6836,"Democrat","Elizabeth A. Warren",3429
"MA","Gardner","25027","2502725485","US Senate","statewide",6836,"Republican","Geoff Diehl",2998
"MA","Gardner","25027","2502725485","US Senate","statewide",6836,"Unenrolled","Shiva Ayyadurai",406
"MA","Georgetown","25009","2500925625","US Senate","statewide",4157,"","All Others",1
"MA","Georgetown","25009","2500925625","US Senate","statewide",4157,"Democrat","Elizabeth A. Warren",1909
"MA","Georgetown","25009","2500925625","US Senate","statewide",4157,"Republican","Geoff Diehl",2052
"MA","Georgetown","25009","2500925625","US Senate","statewide",4157,"Unenrolled","Shiva Ayyadurai",195
"MA","Gill","25011","2501125730","US Senate","statewide",783,"","All Others",0
"MA","Gill","25011","2501125730","US Senate","statewide",783,"Democrat","Elizabeth A. Warren",545
"MA","Gill","25011","2501125730","US Senate","statewide",783,"Republican","Geoff Diehl",219
"MA","Gill","25011","2501125730","US Senate","statewide",783,"Unenrolled","Shiva Ayyadurai",19
"MA","Gloucester","25009","2500926150","US Senate","statewide",13631,"","All Others",17
"MA","Gloucester","25009","2500926150","US Senate","statewide",13631,"Democrat","Elizabeth A. Warren",8405
"MA","Gloucester","25009","2500926150","US Senate","statewide",13631,"Republican","Geoff Diehl",4736
"MA","Gloucester","25009","2500926150","US Senate","statewide",13631,"Unenrolled","Shiva Ayyadurai",473
"MA","Goshen","25015","2501526290","US Senate","statewide",547,"","All Others",0
"MA","Goshen","25015","2501526290","US Senate","statewide",547,"Democrat","Elizabeth A. Warren",342
"MA","Goshen","25015","2501526290","US Senate","statewide",547,"Republican","Geoff Diehl",181
"MA","Goshen","25015","2501526290","US Senate","statewide",547,"Unenrolled","Shiva Ayyadurai",24
"MA","Gosnold","25007","2500726325","US Senate","statewide",56,"","All Others",0
"MA","Gosnold","25007","2500726325","US Senate","statewide",56,"Democrat","Elizabeth A. Warren",33
"MA","Gosnold","25007","2500726325","US Senate","statewide",56,"Republican","Geoff Diehl",21
"MA","Gosnold","25007","2500726325","US Senate","statewide",56,"Unenrolled","Shiva Ayyadurai",2
"MA","Grafton","25027","2502726430","US Senate","statewide",8360,"","All Others",7
"MA","Grafton","25027","2502726430","US Senate","statewide",8360,"Democrat","Elizabeth A. Warren",4464
"MA","Grafton","25027","2502726430","US Senate","statewide",8360,"Republican","Geoff Diehl",3537
"MA","Grafton","25027","2502726430","US Senate","statewide",8360,"Unenrolled","Shiva Ayyadurai",352
"MA","Granby","25015","2501526535","US Senate","statewide",3043,"","All Others",0
"MA","Granby","25015","2501526535","US Senate","statewide",3043,"Democrat","Elizabeth A. Warren",1495
"MA","Granby","25015","2501526535","US Senate","statewide",3043,"Republican","Geoff Diehl",1400
"MA","Granby","25015","2501526535","US Senate","statewide",3043,"Unenrolled","Shiva Ayyadurai",148
"MA","Granville","25013","2501326675","US Senate","statewide",776,"","All Others",0
"MA","Granville","25013","2501326675","US Senate","statewide",776,"Democrat","Elizabeth A. Warren",296
"MA","Granville","25013","2501326675","US Senate","statewide",776,"Republican","Geoff Diehl",450
"MA","Granville","25013","2501326675","US Senate","statewide",776,"Unenrolled","Shiva Ayyadurai",30
"MA","Great Barrington","25003","2500326815","US Senate","statewide",3200,"","All Others",4
"MA","Great Barrington","25003","2500326815","US Senate","statewide",3200,"Democrat","Elizabeth A. Warren",2604
"MA","Great Barrington","25003","2500326815","US Senate","statewide",3200,"Republican","Geoff Diehl",515
"MA","Great Barrington","25003","2500326815","US Senate","statewide",3200,"Unenrolled","Shiva Ayyadurai",77
"MA","Greenfield","25011","2501127025","US Senate","statewide",7313,"","All Others",1
"MA","Greenfield","25011","2501127025","US Senate","statewide",7313,"Democrat","Elizabeth A. Warren",5278
"MA","Greenfield","25011","2501127025","US Senate","statewide",7313,"Republican","Geoff Diehl",1775
"MA","Greenfield","25011","2501127025","US Senate","statewide",7313,"Unenrolled","Shiva Ayyadurai",259
"MA","Groton","25017","2501727480","US Senate","statewide",5769,"","All Others",11
"MA","Groton","25017","2501727480","US Senate","statewide",5769,"Democrat","Elizabeth A. Warren",3365
"MA","Groton","25017","2501727480","US Senate","statewide",5769,"Republican","Geoff Diehl",2178
"MA","Groton","25017","2501727480","US Senate","statewide",5769,"Unenrolled","Shiva Ayyadurai",215
"MA","Groveland","25009","2500927620","US Senate","statewide",3448,"","All Others",1
"MA","Groveland","25009","2500927620","US Senate","statewide",3448,"Democrat","Elizabeth A. Warren",1541
"MA","Groveland","25009","2500927620","US Senate","statewide",3448,"Republican","Geoff Diehl",1760
"MA","Groveland","25009","2500927620","US Senate","statewide",3448,"Unenrolled","Shiva Ayyadurai",146
"MA","Hadley","25015","2501527690","US Senate","statewide",2744,"","All Others",4
"MA","Hadley","25015","2501527690","US Senate","statewide",2744,"Democrat","Elizabeth A. Warren",1891
"MA","Hadley","25015","2501527690","US Senate","statewide",2744,"Republican","Geoff Diehl",753
"MA","Hadley","25015","2501527690","US Senate","statewide",2744,"Unenrolled","Shiva Ayyadurai",96
"MA","Halifax","25023","2502327795","US Senate","statewide",3655,"","All Others",3
"MA","Halifax","25023","2502327795","US Senate","statewide",3655,"Democrat","Elizabeth A. Warren",1432
"MA","Halifax","25023","2502327795","US Senate","statewide",3655,"Republican","Geoff Diehl",2105
"MA","Halifax","25023","2502327795","US Senate","statewide",3655,"Unenrolled","Shiva Ayyadurai",115
"MA","Hamilton","25009","2500927900","US Senate","statewide",4049,"","All Others",6
"MA","Hamilton","25009","2500927900","US Senate","statewide",4049,"Democrat","Elizabeth A. Warren",2240
"MA","Hamilton","25009","2500927900","US Senate","statewide",4049,"Republican","Geoff Diehl",1673
"MA","Hamilton","25009","2500927900","US Senate","statewide",4049,"Unenrolled","Shiva Ayyadurai",130
"MA","Hampden","25013","2501328075","US Senate","statewide",2489,"","All Others",0
"MA","Hampden","25013","2501328075","US Senate","statewide",2489,"Democrat","Elizabeth A. Warren",1052
"MA","Hampden","25013","2501328075","US Senate","statewide",2489,"Republican","Geoff Diehl",1353
"MA","Hampden","25013","2501328075","US Senate","statewide",2489,"Unenrolled","Shiva Ayyadurai",84
"MA","Hancock","25003","2500328180","US Senate","statewide",352,"","All Others",0
"MA","Hancock","25003","2500328180","US Senate","statewide",352,"Democrat","Elizabeth A. Warren",194
"MA","Hancock","25003","2500328180","US Senate","statewide",352,"Republican","Geoff Diehl",151
"MA","Hancock","25003","2500328180","US Senate","statewide",352,"Unenrolled","Shiva Ayyadurai",7
"MA","Hanover","25023","2502328285","US Senate","statewide",7518,"","All Others",6
"MA","Hanover","25023","2502328285","US Senate","statewide",7518,"Democrat","Elizabeth A. Warren",2945
"MA","Hanover","25023","2502328285","US Senate","statewide",7518,"Republican","Geoff Diehl",4359
"MA","Hanover","25023","2502328285","US Senate","statewide",7518,"Unenrolled","Shiva Ayyadurai",208
"MA","Hanson","25023","2502328495","US Senate","statewide",5141,"","All Others",2
"MA","Hanson","25023","2502328495","US Senate","statewide",5141,"Democrat","Elizabeth A. Warren",1910
"MA","Hanson","25023","2502328495","US Senate","statewide",5141,"Republican","Geoff Diehl",3105
"MA","Hanson","25023","2502328495","US Senate","statewide",5141,"Unenrolled","Shiva Ayyadurai",124
"MA","Hardwick","25027","2502728740","US Senate","statewide",1125,"","All Others",0
"MA","Hardwick","25027","2502728740","US Senate","statewide",1125,"Democrat","Elizabeth A. Warren",509
"MA","Hardwick","25027","2502728740","US Senate","statewide",1125,"Republican","Geoff Diehl",556
"MA","Hardwick","25027","2502728740","US Senate","statewide",1125,"Unenrolled","Shiva Ayyadurai",60
"MA","Harvard","25027","2502728950","US Senate","statewide",3340,"","All Others",1
"MA","Harvard","25027","2502728950","US Senate","statewide",3340,"Democrat","Elizabeth A. Warren",2242
"MA","Harvard","25027","2502728950","US Senate","statewide",3340,"Republican","Geoff Diehl",997
"MA","Harvard","25027","2502728950","US Senate","statewide",3340,"Unenrolled","Shiva Ayyadurai",100
"MA","Harwich","25001","2500129020","US Senate","statewide",7513,"","All Others",3
"MA","Harwich","25001","2500129020","US Senate","statewide",7513,"Democrat","Elizabeth A. Warren",4033
"MA","Harwich","25001","2500129020","US Senate","statewide",7513,"Republican","Geoff Diehl",3264
"MA","Harwich","25001","2500129020","US Senate","statewide",7513,"Unenrolled","Shiva Ayyadurai",213
"MA","Hatfield","25015","2501529265","US Senate","statewide",1792,"","All Others",1
"MA","Hatfield","25015","2501529265","US Senate","statewide",1792,"Democrat","Elizabeth A. Warren",1168
"MA","Hatfield","25015","2501529265","US Senate","statewide",1792,"Republican","Geoff Diehl",566
"MA","Hatfield","25015","2501529265","US Senate","statewide",1792,"Unenrolled","Shiva Ayyadurai",57
"MA","Haverhill","25009","2500929405","US Senate","statewide",22949,"","All Others",25
"MA","Haverhill","25009","2500929405","US Senate","statewide",22949,"Democrat","Elizabeth A. Warren",12241
"MA","Haverhill","25009","2500929405","US Senate","statewide",22949,"Republican","Geoff Diehl",9732
"MA","Haverhill","25009","2500929405","US Senate","statewide",22949,"Unenrolled","Shiva Ayyadurai",951
"MA","Hawley","25011","2501129475","US Senate","statewide",167,"","All Others",0
"MA","Hawley","25011","2501129475","US Senate","statewide",167,"Democrat","Elizabeth A. Warren",112
"MA","Hawley","25011","2501129475","US Senate","statewide",167,"Republican","Geoff Diehl",49
"MA","Hawley","25011","2501129475","US Senate","statewide",167,"Unenrolled","Shiva Ayyadurai",6
"MA","Heath","25011","2501129650","US Senate","statewide",362,"","All Others",0
"MA","Heath","25011","2501129650","US Senate","statewide",362,"Democrat","Elizabeth A. Warren",224
"MA","Heath","25011","2501129650","US Senate","statewide",362,"Republican","Geoff Diehl",129
"MA","Heath","25011","2501129650","US Senate","statewide",362,"Unenrolled","Shiva Ayyadurai",9
"MA","Hingham","25023","2502330210","US Senate","statewide",12390,"","All Others",0
"MA","Hingham","25023","2502330210","US Senate","statewide",12390,"Democrat","Elizabeth A. Warren",6700
"MA","Hingham","25023","2502330210","US Senate","statewide",12390,"Republican","Geoff Diehl",5324
"MA","Hingham","25023","2502330210","US Senate","statewide",12390,"Unenrolled","Shiva Ayyadurai",366
